淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
14597508341,olay官方旗舰店,Olay,Olay旗舰 玉兰油精纯透白精华露+面霜+精华笔 美白淡斑 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1fxzLXb8mXXXjEiMW_023805.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15624328288,olay官方旗舰店,,,,,0.0,,0,-1,0,-3,0,2012-10-19
15624328288,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳 爆水凝乳 乳液 美白补水,http://img01.taobaocdn.com/bao/uploaded/i1/T1FW6LXd0pXXX5oFTa_120051.jpg,,0.0,0.0,0,0,0,-2,0,2012-10-18
15624328288,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳 爆水凝乳 乳液 美白补水,http://img01.taobaocdn.com/bao/uploaded/i1/T1FW6LXd0pXXX5oFTa_120051.jpg,,0.0,0.0,2,-1,-2,-2,0,2012-10-17
15624328288,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳 爆水凝乳 乳液 美白补水,http://img01.taobaocdn.com/bao/uploaded/i1/T1FW6LXd0pXXX5oFTa_120051.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13362721439,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13362721439,olay官方旗舰店,Olay,Olay旗舰 男士劲爽平衡凝露+泡沫洁面啫喱+洁面仪 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1jaHUXdXfXXcuco.__110801.jpg,,0.0,0.0,0,-1,0,0,0,2012-10-18
13362721439,olay官方旗舰店,Olay,Olay旗舰 男士劲爽平衡凝露+泡沫洁面啫喱+洁面仪 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1jaHUXdXfXXcuco.__110801.jpg,,0.0,0.0,0,0,0,5,0,2012-10-17
13362721439,olay官方旗舰店,Olay,Olay旗舰 男士劲爽平衡凝露+泡沫洁面啫喱+洁面仪 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1jaHUXdXfXXcuco.__110801.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14114114847,olay官方旗舰店,,,,,0.0,,0,-1,0,-1,0,2012-10-19
14114114847,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感亮肤液+精华+爆水凝乳 美白保湿 正品 包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1v4nHXk0sXXcLfhQW_023658.jpg,,0.0,0.0,1,0,-1,0,0,2012-10-18
14114114847,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感亮肤液+精华+爆水凝乳 美白保湿 正品 包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1v4nHXk0sXXcLfhQW_023658.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
14114114847,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感亮肤液+精华+爆水凝乳 美白保湿 正品 包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1v4nHXk0sXXcLfhQW_023658.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15843616663,olay官方旗舰店,,,,,0.0,,2,2,-2,-2,0,2012-10-19
15843616663,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士抗皱紧肤面霜+眼部精华笔+洁面乳 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1ByYQXnNfXXcHCVo__105200.jpg,,0.0,0.0,1,-2,-1,-2,0,2012-10-18
15843616663,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士抗皱紧肤面霜+眼部精华笔+洁面乳 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1ByYQXnNfXXcHCVo__105200.jpg,,0.0,0.0,5,5,5,4,0,2012-10-17
15843616663,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士抗皱紧肤面霜+眼部精华笔+洁面乳 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1ByYQXnNfXXcHCVo__105200.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13112789315,olay官方旗舰店,,,,,0.0,,0,0,0,-3,0,2012-10-19
13112789315,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式组合 祛痘 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1Db6JXXdiXXahop7__104957.jpg,,0.0,0.0,1,-1,-1,-4,0,2012-10-18
13112789315,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式组合 祛痘 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1Db6JXXdiXXahop7__104957.jpg,,0.0,0.0,1,1,-1,1,0,2012-10-17
13112789315,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式组合 祛痘 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1Db6JXXdiXXahop7__104957.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13106009913,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式净颜洁面乳 洗面奶 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1BqbPXepjXXX5NFrX_113756.jpg,,0.0,0.0,1,0,-2,-1,0,2012-10-18
13106009913,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式净颜洁面乳 洗面奶 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1BqbPXepjXXX5NFrX_113756.jpg,,0.0,0.0,0,0,0,-2,0,2012-10-17
13106009913,olay官方旗舰店,Pro-X,Olay旗舰 玉兰油Pro-X纯净方程式净颜洁面乳 洗面奶 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1BqbPXepjXXX5NFrX_113756.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15845892120,olay官方旗舰店,,,,,0.0,,1,-2,-1,3,0,2012-10-19
15845892120,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士活肤泡沫洁面乳+抗皱紧肤面霜 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1RDbCXXJqXXX787Q8_101357.jpg,,0.0,0.0,1,-2,-2,1,0,2012-10-18
15845892120,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士活肤泡沫洁面乳+抗皱紧肤面霜 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1RDbCXXJqXXX787Q8_101357.jpg,,0.0,0.0,0,-1,0,2,0,2012-10-17
15845892120,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士活肤泡沫洁面乳+抗皱紧肤面霜 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1RDbCXXJqXXX787Q8_101357.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13515731636,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13515731636,olay官方旗舰店,Olay,Olay旗舰店 玉兰油新生唤肤抗皱护肤套装 面霜 眼霜 去眼袋 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1gaHKXiNcXXbsB9Yb_124952.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
13515731636,olay官方旗舰店,Olay,Olay旗舰店 玉兰油新生唤肤抗皱护肤套装 面霜 眼霜 去眼袋 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1gaHKXiNcXXbsB9Yb_124952.jpg,,0.0,0.0,0,0,0,1,0,2012-10-17
13515731636,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生唤肤抗皱护肤套装 面霜 眼霜 抗皱保湿 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1gaHKXiNcXXbsB9Yb_124952.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14482553631,olay官方旗舰店,,,,,0.0,,1,1,-1,0,0,2012-10-19
14482553631,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳+原色霜 美白保湿,http://img03.taobaocdn.com/bao/uploaded/i3/T1AdvMXaxeXXcCnLkZ_032231.jpg,,0.0,0.0,2,2,0,3,0,2012-10-18
14482553631,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳+原色霜 美白保湿,http://img03.taobaocdn.com/bao/uploaded/i3/T1AdvMXaxeXXcCnLkZ_032231.jpg,,0.0,0.0,2,2,-2,0,0,2012-10-17
14482553631,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白精纯美白凝乳+原色霜 美白保湿,http://img03.taobaocdn.com/bao/uploaded/i3/T1AdvMXaxeXXcCnLkZ_032231.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16331752285,olay官方旗舰店,,,,,0.0,,1,1,-1,1,0,2012-10-19
16331752285,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士泡沫洁面乳+爽肤水+紧肤霜 护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1trfLXfNpXXcJXlE8_101455.jpg,,0.0,0.0,2,-2,7,1,0,2012-10-18
16331752285,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士泡沫洁面乳+爽肤水+紧肤霜 护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1trfLXfNpXXcJXlE8_101455.jpg,,0.0,0.0,2,2,-2,1,0,2012-10-17
16331752285,olay官方旗舰店,Olay,Olay旗舰 玉兰油男士泡沫洁面乳+爽肤水+紧肤霜 护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1trfLXfNpXXcJXlE8_101455.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13911126479,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13911126479,olay官方旗舰店,Pro-X,olay旗舰 玉兰油纯净方程式Pro-X控油反孔抗痘四件套 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1UITFXm0oXXXv7D39_104720.jpg,,0.0,0.0,0,0,0,-1,0,2012-10-18
13911126479,olay官方旗舰店,Pro-X,olay旗舰 玉兰油纯净方程式Pro-X控油反孔抗痘四件套 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1UITFXm0oXXXv7D39_104720.jpg,,0.0,0.0,0,0,0,1,0,2012-10-17
13911126479,olay官方旗舰店,Pro-X,olay旗舰 玉兰油纯净方程式Pro-X控油反孔抗痘四件套 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1UITFXm0oXXXv7D39_104720.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13110006125,olay官方旗舰店,,,,,0.0,,1,0,-1,0,0,2012-10-19
13110006125,olay官方旗舰店,Pro-X,Olay旗舰 Pro-X纯净方程式净颜洁面乳+水+修护露 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1klrIXh0mXXXuxjA9_104138.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
13110006125,olay官方旗舰店,Pro-X,Olay旗舰 Pro-X纯净方程式净颜洁面乳+水+修护露 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1klrIXh0mXXXuxjA9_104138.jpg,,0.0,0.0,0,-2,0,0,0,2012-10-17
13110006125,olay官方旗舰店,Pro-X,Olay旗舰 Pro-X纯净方程式净颜洁面乳+水+修护露 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1klrIXh0mXXXuxjA9_104138.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14422655026,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
14422655026,olay官方旗舰店,40ml,olay旗舰 玉兰油男士净爽焕肤轻透防晒液40ml 防晒 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1Xx6LXe4jXXXeA3Z7_064634.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
14422655026,olay官方旗舰店,40ml,olay旗舰 玉兰油男士净爽焕肤轻透防晒液40ml 防晒 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1Xx6LXe4jXXXeA3Z7_064634.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
14422655026,olay官方旗舰店,40ml,olay旗舰 玉兰油男士净爽焕肤轻透防晒液40ml 防晒 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1Xx6LXe4jXXXeA3Z7_064634.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13848361303,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13848361303,olay官方旗舰店,6ml,Olay官方旗舰 玉兰油男士抗皱紧肤眼部走珠精华笔6ml 眼霜 去眼袋,http://img03.taobaocdn.com/bao/uploaded/i3/T1o2bCXmXqXXcNuyA7_065137.jpg,,0.0,0.0,1,1,-1,0,0,2012-10-18
13848361303,olay官方旗舰店,6ml,Olay官方旗舰 玉兰油男士抗皱紧肤眼部走珠精华笔6ml 眼霜 去眼袋,http://img03.taobaocdn.com/bao/uploaded/i3/T1o2bCXmXqXXcNuyA7_065137.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
