淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
18880808896,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装高端兔毛领堆堆领无袖背心裙修身连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1qyTNXfdlXXb64ATb_125011.jpg,秋款上新,0.0,0.0,1,-2,-1,-6,0,2012-10-17
18880808896,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装高端兔毛领堆堆领无袖背心裙修身连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1qyTNXfdlXXb64ATb_125011.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
15569977334,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-19
15569977334,海青蓝旗舰店,2012,海青蓝 2012秋冬女装新款 百搭打底蕾丝松紧欧美钉珠 打底衫黑色,http://img03.taobaocdn.com/bao/uploaded/i3/T1lwnLXahtXXaXklsU_015549.jpg,秋款上新,0.0,0.0,2,1,-3,1,0,2012-10-18
15569977334,海青蓝旗舰店,2012,海青蓝 2012秋冬女装新款 百搭打底蕾丝松紧欧美钉珠 打底衫黑色,http://img03.taobaocdn.com/bao/uploaded/i3/T1lwnLXahtXXaXklsU_015549.jpg,秋款上新,0.0,0.0,2,-3,-2,2,0,2012-10-17
15569977334,海青蓝旗舰店,2012,海青蓝 2012秋冬女装新款 百搭打底蕾丝松紧欧美钉珠 打底衫黑色,http://img03.taobaocdn.com/bao/uploaded/i3/T1lwnLXahtXXaXklsU_015549.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
20035900395,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,7,0,2012-10-19
20035900395,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 优雅女人 重工绣花长袖修身大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T12SnKXkNnXXc8vdE7_063920.jpg,秋款上新,0.0,0.0,0,0,0,4,0,2012-10-18
20035900395,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 优雅女人 重工绣花长袖修身大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T12SnKXkNnXXc8vdE7_063920.jpg,秋款上新,0.0,0.0,0,0,-1,5,0,2012-10-17
20035900395,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 优雅女人 重工绣花长袖修身大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T12SnKXkNnXXc8vdE7_063920.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
18895056730,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-19
18895056730,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款专供进口丝绒修身显瘦大码长袖品牌连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1sxTHXnXnXXahCqTX_114244.jpg,秋款上新,0.0,0.0,1,1,-1,1,0,2012-10-18
18895056730,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款专供进口丝绒修身显瘦大码长袖品牌连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1sxTHXnXnXXahCqTX_114244.jpg,秋款上新,0.0,0.0,0,-1,1,1,0,2012-10-17
18895056730,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款专供进口丝绒修身显瘦大码长袖品牌连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1sxTHXnXnXXahCqTX_114244.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
17072475238,海青蓝旗舰店,,,,天猫上新,0.0,0.0,0,0,0,0,0,2012-10-19
17072475238,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 复古气质 丝绒长袖古典高腰显瘦连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1sc2RXklfXXaDj7cU_015408.jpg,天猫上新,0.0,0.0,1,1,-1,7,0,2012-10-18
17072475238,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 复古气质 丝绒长袖古典高腰显瘦连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1sc2RXklfXXaDj7cU_015408.jpg,天猫上新,0.0,0.0,1,0,-1,2,0,2012-10-17
17072475238,海青蓝旗舰店,2012,海青蓝2012秋季女装新款 复古气质 丝绒长袖古典高腰显瘦连衣裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1sc2RXklfXXaDj7cU_015408.jpg,天猫上新,0.0,0.0,0,0,0,0,0,2012-10-16
18624492037,海青蓝旗舰店,,,,秋款上新,0.0,0.0,2,1,-2,2,0,2012-10-19
18624492037,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 民族风重工凤凰手工刺绣长袖大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1pYHTXl0kXXc6jrHb_093226.jpg,秋款上新,0.0,0.0,1,0,0,0,0,2012-10-18
18624492037,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 民族风重工凤凰手工刺绣长袖大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1pYHTXl0kXXc6jrHb_093226.jpg,秋款上新,0.0,0.0,1,1,-2,3,0,2012-10-17
18624492037,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 民族风重工凤凰手工刺绣长袖大码连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1pYHTXl0kXXc6jrHb_093226.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
17402295991,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-19
17402295991,海青蓝旗舰店,2012,海青蓝2012秋冬新款刺绣镶钻复古气质针织长袖大码显瘦连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T170nUXk0bXXaCEO33_050444.jpg,秋款上新,0.0,0.0,1,1,-1,-2,0,2012-10-18
